year,release_name,subject,subject_key,pillar,score,extracted_date
2020,World University Rankings 2020,Business and Economics,businessAndEconomics,Teaching,13.8,2026-04-25 23:27
2020,World University Rankings 2020,Business and Economics,businessAndEconomics,Research,5.4,2026-04-25 23:27
2020,World University Rankings 2020,Business and Economics,businessAndEconomics,Citations,34.7,2026-04-25 23:27
2020,World University Rankings 2020,Business and Economics,businessAndEconomics,Industry,30.5,2026-04-25 23:27
2020,World University Rankings 2020,Business and Economics,businessAndEconomics,International Outlook,31.9,2026-04-25 23:27
2020,World University Rankings 2020,Computer Science,computerScience,Teaching,14.1,2026-04-25 23:27
2020,World University Rankings 2020,Computer Science,computerScience,Research,12.2,2026-04-25 23:27
2020,World University Rankings 2020,Computer Science,computerScience,Citations,27.1,2026-04-25 23:27
2020,World University Rankings 2020,Computer Science,computerScience,Industry,38.0,2026-04-25 23:27
2020,World University Rankings 2020,Computer Science,computerScience,International Outlook,34.6,2026-04-25 23:27
2020,World University Rankings 2020,Life Sciences,lifeSciences,Teaching,16.2,2026-04-25 23:27
2020,World University Rankings 2020,Life Sciences,lifeSciences,Research,6.3,2026-04-25 23:27
2020,World University Rankings 2020,Life Sciences,lifeSciences,Citations,20.7,2026-04-25 23:27
2020,World University Rankings 2020,Life Sciences,lifeSciences,Industry,29.4,2026-04-25 23:27
2020,World University Rankings 2020,Life Sciences,lifeSciences,International Outlook,43.8,2026-04-25 23:27
2020,World University Rankings 2020,Overall,overall,Teaching,19.6,2026-04-25 23:27
2020,World University Rankings 2020,Overall,overall,Research,8.3,2026-04-25 23:27
2020,World University Rankings 2020,Overall,overall,Citations,19.4,2026-04-25 23:27
2020,World University Rankings 2020,Overall,overall,Industry,34.7,2026-04-25 23:27
2020,World University Rankings 2020,Overall,overall,International Outlook,43.3,2026-04-25 23:27
2020,World University Rankings 2020,Engineering,engineeringTechnology,Teaching,17.7,2026-04-25 23:27
2020,World University Rankings 2020,Engineering,engineeringTechnology,Research,6.3,2026-04-25 23:27
2020,World University Rankings 2020,Engineering,engineeringTechnology,Citations,28.1,2026-04-25 23:27
2020,World University Rankings 2020,Engineering,engineeringTechnology,Industry,31.8,2026-04-25 23:27
2020,World University Rankings 2020,Engineering,engineeringTechnology,International Outlook,43.9,2026-04-25 23:27
2020,World University Rankings 2020,Physical Sciences,physicalSciences,Teaching,14.2,2026-04-25 23:27
2020,World University Rankings 2020,Physical Sciences,physicalSciences,Research,5.4,2026-04-25 23:27
2020,World University Rankings 2020,Physical Sciences,physicalSciences,Citations,19.9,2026-04-25 23:27
2020,World University Rankings 2020,Physical Sciences,physicalSciences,Industry,31.0,2026-04-25 23:27
2020,World University Rankings 2020,Physical Sciences,physicalSciences,International Outlook,41.0,2026-04-25 23:27
2021,World University Rankings 2021,Business and Economics,businessAndEconomics,Teaching,17.9,2026-04-25 23:27
2021,World University Rankings 2021,Business and Economics,businessAndEconomics,Research,6.8,2026-04-25 23:27
2021,World University Rankings 2021,Business and Economics,businessAndEconomics,Citations,43.1,2026-04-25 23:27
2021,World University Rankings 2021,Business and Economics,businessAndEconomics,Industry,35.1,2026-04-25 23:27
2021,World University Rankings 2021,Business and Economics,businessAndEconomics,International Outlook,38.0,2026-04-25 23:27
2021,World University Rankings 2021,Computer Science,computerScience,Teaching,8.5,2026-04-25 23:27
2021,World University Rankings 2021,Computer Science,computerScience,Research,10.9,2026-04-25 23:27
2021,World University Rankings 2021,Computer Science,computerScience,Citations,29.7,2026-04-25 23:27
2021,World University Rankings 2021,Computer Science,computerScience,Industry,44.2,2026-04-25 23:27
2021,World University Rankings 2021,Computer Science,computerScience,International Outlook,36.4,2026-04-25 23:27
2021,World University Rankings 2021,Life Sciences,lifeSciences,Teaching,16.0,2026-04-25 23:27
2021,World University Rankings 2021,Life Sciences,lifeSciences,Research,7.0,2026-04-25 23:27
2021,World University Rankings 2021,Life Sciences,lifeSciences,Citations,20.4,2026-04-25 23:27
2021,World University Rankings 2021,Life Sciences,lifeSciences,Industry,33.4,2026-04-25 23:27
2021,World University Rankings 2021,Life Sciences,lifeSciences,International Outlook,44.8,2026-04-25 23:27
2021,World University Rankings 2021,Overall,overall,Teaching,19.2,2026-04-25 23:27
2021,World University Rankings 2021,Overall,overall,Research,8.8,2026-04-25 23:27
2021,World University Rankings 2021,Overall,overall,Citations,20.0,2026-04-25 23:27
2021,World University Rankings 2021,Overall,overall,Industry,33.9,2026-04-25 23:27
2021,World University Rankings 2021,Overall,overall,International Outlook,44.1,2026-04-25 23:27
2021,World University Rankings 2021,Physical Sciences,physicalSciences,Teaching,14.6,2026-04-25 23:27
2021,World University Rankings 2021,Physical Sciences,physicalSciences,Research,7.8,2026-04-25 23:27
2021,World University Rankings 2021,Physical Sciences,physicalSciences,Citations,21.3,2026-04-25 23:27
2021,World University Rankings 2021,Physical Sciences,physicalSciences,Industry,34.1,2026-04-25 23:27
2021,World University Rankings 2021,Physical Sciences,physicalSciences,International Outlook,41.0,2026-04-25 23:27
2021,World University Rankings 2021,Engineering,engineeringTechnology,Teaching,17.2,2026-04-25 23:27
2021,World University Rankings 2021,Engineering,engineeringTechnology,Research,6.1,2026-04-25 23:27
2021,World University Rankings 2021,Engineering,engineeringTechnology,Citations,32.0,2026-04-25 23:27
2021,World University Rankings 2021,Engineering,engineeringTechnology,Industry,31.0,2026-04-25 23:27
2021,World University Rankings 2021,Engineering,engineeringTechnology,International Outlook,44.8,2026-04-25 23:27
2022,World University Rankings 2022,Computer Science,computerScience,Teaching,16.6,2026-04-25 23:27
2022,World University Rankings 2022,Computer Science,computerScience,Research,7.3,2026-04-25 23:27
2022,World University Rankings 2022,Computer Science,computerScience,Citations,27.8,2026-04-25 23:27
2022,World University Rankings 2022,Computer Science,computerScience,Industry,41.4,2026-04-25 23:27
2022,World University Rankings 2022,Computer Science,computerScience,International Outlook,36.0,2026-04-25 23:27
2022,World University Rankings 2022,Life Sciences,lifeSciences,Teaching,13.9,2026-04-25 23:27
2022,World University Rankings 2022,Life Sciences,lifeSciences,Research,7.7,2026-04-25 23:27
2022,World University Rankings 2022,Life Sciences,lifeSciences,Citations,22.7,2026-04-25 23:27
2022,World University Rankings 2022,Life Sciences,lifeSciences,Industry,53.8,2026-04-25 23:27
2022,World University Rankings 2022,Life Sciences,lifeSciences,International Outlook,45.9,2026-04-25 23:27
2022,World University Rankings 2022,Overall,overall,Teaching,19.8,2026-04-25 23:27
2022,World University Rankings 2022,Overall,overall,Research,9.8,2026-04-25 23:27
2022,World University Rankings 2022,Overall,overall,Citations,19.4,2026-04-25 23:27
2022,World University Rankings 2022,Overall,overall,Industry,36.4,2026-04-25 23:27
2022,World University Rankings 2022,Overall,overall,International Outlook,43.9,2026-04-25 23:27
2022,World University Rankings 2022,Physical Sciences,physicalSciences,Teaching,13.7,2026-04-25 23:27
2022,World University Rankings 2022,Physical Sciences,physicalSciences,Research,8.4,2026-04-25 23:27
2022,World University Rankings 2022,Physical Sciences,physicalSciences,Citations,20.9,2026-04-25 23:27
2022,World University Rankings 2022,Physical Sciences,physicalSciences,Industry,34.8,2026-04-25 23:27
2022,World University Rankings 2022,Physical Sciences,physicalSciences,International Outlook,40.4,2026-04-25 23:27
2022,World University Rankings 2022,Social Sciences,socialSciences,Teaching,11.2,2026-04-25 23:27
2022,World University Rankings 2022,Social Sciences,socialSciences,Research,7.3,2026-04-25 23:27
2022,World University Rankings 2022,Social Sciences,socialSciences,Citations,83.5,2026-04-25 23:27
2022,World University Rankings 2022,Social Sciences,socialSciences,Industry,33.9,2026-04-25 23:27
2022,World University Rankings 2022,Social Sciences,socialSciences,International Outlook,44.8,2026-04-25 23:27
2022,World University Rankings 2022,Business and Economics,businessAndEconomics,Teaching,16.7,2026-04-25 23:27
2022,World University Rankings 2022,Business and Economics,businessAndEconomics,Research,8.6,2026-04-25 23:27
2022,World University Rankings 2022,Business and Economics,businessAndEconomics,Citations,54.3,2026-04-25 23:27
2022,World University Rankings 2022,Business and Economics,businessAndEconomics,Industry,33.9,2026-04-25 23:27
2022,World University Rankings 2022,Business and Economics,businessAndEconomics,International Outlook,37.9,2026-04-25 23:27
2022,World University Rankings 2022,Engineering,engineeringTechnology,Teaching,13.4,2026-04-25 23:27
2022,World University Rankings 2022,Engineering,engineeringTechnology,Research,6.9,2026-04-25 23:27
2022,World University Rankings 2022,Engineering,engineeringTechnology,Citations,24.3,2026-04-25 23:27
2022,World University Rankings 2022,Engineering,engineeringTechnology,Industry,32.9,2026-04-25 23:27
2022,World University Rankings 2022,Engineering,engineeringTechnology,International Outlook,43.9,2026-04-25 23:27
2023,World University Rankings 2023,Business and Economics,businessAndEconomics,Teaching,13.9,2026-04-25 23:27
2023,World University Rankings 2023,Business and Economics,businessAndEconomics,Research,7.4,2026-04-25 23:27
2023,World University Rankings 2023,Business and Economics,businessAndEconomics,Citations,49.1,2026-04-25 23:27
2023,World University Rankings 2023,Business and Economics,businessAndEconomics,Industry,34.9,2026-04-25 23:27
2023,World University Rankings 2023,Business and Economics,businessAndEconomics,International Outlook,36.7,2026-04-25 23:27
2023,World University Rankings 2023,Computer Science,computerScience,Teaching,15.6,2026-04-25 23:27
2023,World University Rankings 2023,Computer Science,computerScience,Research,11.5,2026-04-25 23:27
2023,World University Rankings 2023,Computer Science,computerScience,Citations,28.4,2026-04-25 23:27
